name,url,scraped
Levytskyi V.,/player/levytskyi-vitalii/AXAlLzhM,True
Kozlov D.,/player/kozlov-denys/CWiECO9U,True
Novikov V.,/player/novikov-vitaliy/2BZnw3Pn,True
Medvedev Y.,/player/medvedev-yuriy/YkGKrhk0,True
Rodin A.,/player/rodin-alexey/Q9pSaeOD,True
Udovenko I.,/player/udovenko-ivan/4le6MVjh,True
Vasko V.,/player/vasko-vitalii/YDGlZ9fH,True
Melnykov V.,/player/melnykov-volodymyr/WldPS7Xp,True
Klymenko K.,/player/klymenko-kostiantyn/S68W8exi,True
Varchenko V.,/player/varchenko-vladimir/8EHeA2El,True
Smyk V.,/player/smyk-vasil/nasPYMWN,True
Leonenko O.,/player/leonenko-oleksandr/GYoTXtnU,True
Sobko V.,/player/sobko-valentyn/GWxatNSl,True
Saenko O.,/player/saenko-oleg/CjAIQs5l,True
Khoroshko A.,/player/khoroshko-aleksandr/jccpusKs,True
Buluy S.,/player/buluy-sergey/0O2DpEKm,True
Kalenik S.,/player/kalenik-sergey/KAn8NnI6,True
Repkin O.,/player/repkin-oleg/r9yh0xBR,True
Nesterenko I.,/player/nesterenko-ivan/SAM8350o,True
Zezyulin A.,/player/zezyulin-artem/lQAH1qVc,True
Stasevskiy O.,/player/stasevskiy-oleg/EeAaHTzR,True
Cherednichenko P.,/player/cherednichenko-pavlo/QZT4enE7,True
Akimov Y.,/player/akimov-igor/Kxk1yaJ6,True
Kyienko S.,/player/kyienko-serhii/zLse2nL0,True
Volkov P.,/player/volkov-pavlo/0Qk0foaU,True
Khorolsky V.,/player/khorolsky-vitaliy/z7W8Oz7i,True
Morgun G.,/player/morgun-gleb/pU7gTaFK,True
Alistratov A.,/player/alistratov-alexander/b3htxhW6,True
Kostanyan A.,/player/kostanyan-arkadiy/WlOr9vI2,True
Fomin O.,/player/fomin-oleksandr/rmGQE4k9,True
Lukander D.,/player/lukander-daniil/4vCRDZfA,True
Rybakov Y.,/player/rybakov-yuriy/4Q2Um6FK,True
Voytenko E.,/player/voytenko-evgeniy/Awp7QwL6,True
Ivlev A.,/player/ivlev-alexander/U5ml6xAL,True
